Title,Body,Status,Labels,Repository,Milestone,Priority,EstimateDays,OwnerRole,Sprint
"S0-01 Finalize entity contract","Lock Turbine, Component, TurbineTelemetry, WeatherSample fields and nullability. Confirm business keys and status enum values.","Todo","rayfin,planning,data-contract","cyphou/Ontology-RTI","M1","P0",1,"Data Engineer","Sprint 0"
"S0-02 Define scene mapping schema","Create mapping between turbineId/componentId and sceneObjectId/mesh node names. Add validation rules.","Todo","rayfin,threejs,planning","cyphou/Ontology-RTI","M1","P0",1,"Front-end Engineer","Sprint 0"
"S0-03 Create local runbook","Document local start, auth flow, seed data load, telemetry generation, and smoke checks.","Todo","rayfin,docs,devex","cyphou/Ontology-RTI","M1","P0",1,"Platform Engineer","Sprint 0"
"S1-01 Scaffold Rayfin app","Create Fabric App scaffold with React and Vite. Confirm local login and project structure.","In Progress","rayfin,frontend,setup","cyphou/Ontology-RTI","M1","P0",1,"Front-end Engineer","Sprint 1"
"S1-02 Add entities","Implement Turbine, Component, TurbineTelemetry entities in TypeScript decorators and migration/provision flow.","In Progress","rayfin,data-model","cyphou/Ontology-RTI","M1","P0",2,"Data Engineer","Sprint 1"
"S1-03 Seed base turbine data","Seed 8-12 turbines with location metadata and component structure.","In Progress","rayfin,data,seed","cyphou/Ontology-RTI","M1","P0",1,"Data Engineer","Sprint 1"
"S1-04 Build telemetry generator","Create deterministic telemetry simulator with healthy/warning/alarm states.","In Progress","rayfin,telemetry,backend","cyphou/Ontology-RTI","M1","P0",1,"Data Engineer","Sprint 1"
"S1-05 Build Three.js scene","Render ground plane, camera controls, turbine placement, and selection interactions.","In Progress","threejs,frontend,rayfin","cyphou/Ontology-RTI","M1","P0",2,"Front-end Engineer","Sprint 1"
"S1-06 Bind status to visuals","Map telemetry status to turbine visual state and update loop.","In Progress","threejs,telemetry,frontend","cyphou/Ontology-RTI","M1","P0",1,"Front-end Engineer","Sprint 1"
"S1-07 Build details panel","Display selected turbine live metrics and freshness timestamps.","In Progress","frontend,ux,telemetry","cyphou/Ontology-RTI","M1","P1",1,"Front-end Engineer","Sprint 1"
"S1-08 Deploy to Fabric","Run deployment and validate SSO, data access, and scene behavior in Fabric-hosted environment.","In Progress","fabric,deploy,rayfin","cyphou/Ontology-RTI","M1","P0",1,"Platform Engineer","Sprint 1"
"S2-01 Add filtering","Add status and turbine-group filtering controls in scene UI.","Todo","frontend,ux","cyphou/Ontology-RTI","M2","P1",1,"Front-end Engineer","Sprint 2"
"S2-02 Add stale-data states","Implement stale telemetry states and warning messaging in UI.","Todo","frontend,reliability","cyphou/Ontology-RTI","M2","P1",1,"Front-end Engineer","Sprint 2"
"S2-03 Capture blog assets","Create architecture diagram, screenshots, and reproducible command snippets.","Todo","docs,blog,assets","cyphou/Ontology-RTI","M2","P0",1,"Technical Writer","Sprint 2"
"S2-04 Publish Part 1","Finalize and publish Part 1 article with tested steps and known issues.","Todo","docs,blog,publish","cyphou/Ontology-RTI","M2","P0",1,"Technical Writer","Sprint 2"
"S3-01 Blender turbine import","Integrate realistic turbine mesh from Blender exports.","Todo","threejs,assets,blender","cyphou/Ontology-RTI","M3","P0",2,"Front-end Engineer","Sprint 3"
"S3-02 Terrain pipeline","Process scan/vector source data into terrain mesh and textures.","Todo","terrain,pipeline,data","cyphou/Ontology-RTI","M3","P0",3,"Data Engineer","Sprint 3"
"S3-03 Asset optimization","Implement LOD, draw-call reduction, and texture budget controls.","Todo","performance,threejs","cyphou/Ontology-RTI","M3","P0",2,"Front-end Engineer","Sprint 3"
"S3-04 Regression validation","Verify existing IDs, selection logic, and telemetry bindings still pass.","Todo","qa,regression","cyphou/Ontology-RTI","M3","P0",1,"Platform Engineer","Sprint 3"
"S4-01 Foundry agent integration","Connect app to Foundry agent grounded by Fabric KQL context.","Todo","foundry,ai,backend","cyphou/Ontology-RTI","M4","P0",3,"AI Engineer","Sprint 4"
"S4-02 Text copilot UI","Add text interaction UI with selected turbine and farm context grounding.","Todo","ai,frontend,ux","cyphou/Ontology-RTI","M4","P0",2,"Front-end Engineer","Sprint 4"
"S4-03 Voice path","Add real-time voice input/output path with text fallback.","Todo","ai,voice,frontend","cyphou/Ontology-RTI","M4","P1",3,"AI Engineer","Sprint 4"
"S4-04 Guardrails and tracing","Implement response guardrails, traces, and error analytics.","Todo","ai,safety,observability","cyphou/Ontology-RTI","M4","P0",2,"AI Engineer","Sprint 4"
"S5-01 Performance test pass","Run frame-time and update-latency tests in target demo environment.","Todo","qa,performance","cyphou/Ontology-RTI","M5","P0",2,"Platform Engineer","Sprint 5"
"S5-02 Security and auth checks","Validate auth boundaries, token handling, and data access controls.","Todo","security,auth,qa","cyphou/Ontology-RTI","M5","P0",1,"Platform Engineer","Sprint 5"
"S5-03 Demo runbook","Prepare final demo script, fallback flows, and troubleshooting guide.","Todo","docs,ops,demo","cyphou/Ontology-RTI","M5","P0",1,"Technical Writer","Sprint 5"
