AlertId,SensorId,AlertType,Severity,Timestamp,Value,Threshold,Description,Status
ALR-001,SNS-009,HighVibration,Critical,2024-01-22T10:30:00,15.2,10.0,CNC mill vibration exceeded critical threshold - spindle bearing,Acknowledged
ALR-002,SNS-001,HighTemperature,Medium,2024-02-05T14:15:00,1350,1200,Welder torch tip temperature elevated,Active
ALR-003,SNS-012,AccuracyDrift,High,2024-02-15T09:00:00,65,50,SMT placement accuracy degraded beyond tolerance,Acknowledged
ALR-004,SNS-015,HighPressure,Critical,2024-03-10T07:45:00,2300,2000,Injection molder pressure spike - possible blockage,Acknowledged
ALR-005,SNS-007,HighHumidity,Medium,2024-03-20T11:00:00,78,70,Paint booth humidity too high for coating adhesion,Active
ALR-006,SNS-013,TemperatureDeviation,High,2024-04-01T12:30:00,268,260,Reflow zone 1 temperature 8C above setpoint,Acknowledged
ALR-007,SNS-004,LowSpeed,High,2024-04-15T08:20:00,12,20,Conveyor belt speed drop - motor or belt issue,Acknowledged
ALR-008,SNS-016,HighTemperature,Critical,2024-05-20T15:00:00,385,350,Injection molder barrel overheating,Acknowledged
ALR-009,SNS-011,HighVibration,High,2024-06-10T09:45:00,12.5,10.0,CNC lathe chuck imbalance detected,Acknowledged
ALR-010,SNS-018,TemperatureDeviation,Medium,2024-07-05T14:00:00,258,250,Wave solder pot temperature slightly high,Active
