AlarmId,SensorId,AlarmType,Severity,AlarmTimestamp,AcknowledgedTimestamp,ClearedTimestamp,AlarmValue,ThresholdValue,Description,ActionTaken,AcknowledgedByEmployeeId
ALM001,SN004,HighVibration,Warning,2025-09-15T08:23:00,2025-09-15T08:25:00,2025-09-15T09:10:00,0.85,0.80,Feed pump A vibration above warning threshold,Monitored and scheduled inspection,EMP004
ALM002,SN011,HighTemperature,Critical,2025-10-02T14:45:00,2025-10-02T14:46:00,2025-10-02T15:30:00,1780,1750,Heater firebox temperature exceeded limit,Reduced firing rate and adjusted draft,EMP003
ALM003,SN017,HighTemperature,Warning,2025-10-10T03:12:00,2025-10-10T03:14:00,2025-10-10T04:00:00,1040,1030,FCC reactor temperature above normal operating range,Adjusted feed rate and catalyst circulation,EMP005
ALM004,SN019,HighTemperature,Critical,2025-10-10T03:15:00,2025-10-10T03:16:00,2025-10-10T04:05:00,1390,1380,FCC regenerator temperature high following reactor upset,Reduced air rate to regenerator,EMP005
ALM005,SN020,HighPressure,Warning,2025-10-10T03:18:00,2025-10-10T03:19:00,2025-10-10T04:10:00,9.2,9.0,FCC regenerator differential pressure high,Checked catalyst level and slide valve position,EMP005
ALM006,SN024,HighPressure,Warning,2025-11-05T22:33:00,2025-11-05T22:35:00,2025-11-05T23:15:00,2750,2700,Hydrocracker reactor A pressure above normal,Verified pressure relief system and reduced charge rate,EMP003
ALM007,SN026,HighVibration,Critical,2025-09-18T11:05:00,2025-09-18T11:06:00,2025-09-18T11:45:00,0.92,0.85,HC recycle compressor high vibration alarm triggered,Emergency bearing inspection scheduled,EMP003
ALM008,SN030,LowTemperature,Warning,2025-11-20T06:45:00,2025-11-20T06:48:00,2025-11-20T07:30:00,590,600,HDS reactor temperature below minimum for catalyst activity,Increased heater duty to restore temperature,EMP004
ALM009,SN008,HighLevel,Warning,2025-12-01T15:20:00,2025-12-01T15:22:00,2025-12-01T16:00:00,92,90,CDU column overhead accumulator high level,Increased reflux pump speed,EMP010
ALM010,SN040,LowLevel,Critical,2025-12-05T09:15:00,2025-12-05T09:16:00,2025-12-05T09:45:00,15,20,Desalter level dropped below minimum operating level,Adjusted mix valve and verified crude charge rate,EMP003
ALM011,SN013,HighTemperature,Warning,2025-11-28T20:10:00,2025-11-28T20:12:00,2025-11-28T20:50:00,680,650,CDU heater stack temperature high indicating fouling,Scheduled soot blowing and convection section cleaning,EMP005
ALM012,SN021,HighVibration,Warning,2025-12-10T07:30:00,2025-12-10T07:32:00,2025-12-10T08:15:00,1.05,1.00,FCC air blower vibration above baseline,Monitored trend and planned bearing inspection,EMP004
ALM013,SN034,HighTemperature,Warning,2025-08-05T16:40:00,2025-08-05T16:42:00,2025-08-05T17:20:00,1042,1030,Baytown FCC reactor temperature high,Adjusted catalyst cooler operation,EMP014
ALM014,SN037,HighTemperature,Critical,2025-06-15T02:55:00,2025-06-15T02:56:00,2025-06-15T03:30:00,945,930,Alberta coker drum A temperature approaching limit,Initiated drum switch sequence,EMP022
ALM015,SN039,HighTemperature,Warning,2025-08-06T10:20:00,2025-08-06T10:22:00,2025-08-06T11:00:00,1775,1750,ME Hub CDU heater firebox temperature high,Reduced fuel gas flow and adjusted air registers,EMP024"SA-001","S-005","EmergencyShutdown","High",,,,,,,,
"SA-002","S-014","Vibration","Low",,,,,,,,
"SA-003","S-010","HighTemperature","Medium",,,,,,,,
"SA-004","S-005","Vibration","Low",,,,,,,,
"SA-005","S-002","HighLevel","Low",,,,,,,,
"SA-006","S-017","HighTemperature","Medium",,,,,,,,
"SA-007","S-013","LowPressure","Low",,,,,,,,
"SA-008","S-007","LowFlow","Low",,,,,,,,
"SA-009","S-017","Vibration","Low",,,,,,,,
"SA-010","S-009","EmergencyShutdown","Low",,,,,,,,
"SA-011","S-003","LowLevel","Low",,,,,,,,
"SA-012","S-009","Overspeed","Low",,,,,,,,
"SA-013","S-001","HighTemperature","Low",,,,,,,,
"SA-014","S-009","HighPressure","Medium",,,,,,,,
"SA-015","S-013","HighPressure","Low",,,,,,,,
"SA-016","S-016","LowPressure","Medium",,,,,,,,
"SA-017","S-001","LowFlow","Critical",,,,,,,,
