MaintenanceId,EquipmentId,MaintenanceType,Priority,PerformedByEmployeeId,StartDate,EndDate,DurationHours,CostUSD,Description,WorkOrderNumber,Status
MNT001,EQ001,Preventive,Medium,EMP006,2025-09-12,2025-09-12,8,4500,Quarterly pump inspection and bearing lubrication,WO-2025-0412,Completed
MNT002,EQ003,Inspection,High,EMP006,2025-06-20,2025-06-22,48,18500,Biennial column internal inspection and tray replacement,WO-2025-0289,Completed
MNT003,EQ008,Preventive,High,EMP007,2025-11-30,2025-12-02,40,22000,Annual heater tube thickness survey and burner tuning,WO-2025-0598,Completed
MNT004,EQ011,Turnaround,Critical,EMP006,2025-07-15,2025-08-10,624,1850000,FCC major turnaround with catalyst change and vessel repair,WO-2025-0312,Completed
MNT005,EQ014,Corrective,High,EMP007,2025-09-20,2025-09-21,16,35000,Air blower bearing replacement due to high vibration,WO-2025-0445,Completed
MNT006,EQ016,Inspection,High,EMP006,2025-05-10,2025-05-13,60,28000,Hydrocracker reactor bed thermocouple replacement,WO-2025-0215,Completed
MNT007,EQ018,Preventive,Medium,EMP007,2025-08-25,2025-08-26,20,15000,Recycle compressor valve overhaul,WO-2025-0388,Completed
MNT008,EQ004,Corrective,Medium,EMP006,2025-10-15,2025-10-16,12,8500,Heat exchanger tube leak repair and hydro-test,WO-2025-0498,Completed
MNT009,EQ023,Inspection,Critical,EMP008,2025-04-30,2025-05-02,36,42000,Alkylation reactor and acid system inspection,WO-2025-0182,Completed
MNT010,EQ025,Preventive,High,EMP006,2025-06-05,2025-06-07,32,19500,HDS catalyst activity test and reactor inspection,WO-2025-0256,Completed
MNT011,EQ029,Turnaround,Critical,EMP015,2025-08-10,2025-09-05,624,1650000,Baytown FCC turnaround with refractory and cyclone repair,WO-2025-0362,Completed
MNT012,EQ031,Inspection,High,EMP019,2025-05-20,2025-05-22,40,25000,Rotterdam CDU column internals inspection,WO-2025-0220,Completed
MNT013,EQ033,Preventive,High,EMP022,2025-06-18,2025-06-20,32,28000,Coker drum thermal scan and derrick inspection,WO-2025-0268,Completed
MNT014,EQ035,Corrective,Critical,EMP024,2025-08-08,2025-08-10,36,55000,ME Hub CDU heater emergency tube replacement,WO-2025-0355,Completed
MNT015,EQ002,Preventive,Medium,EMP006,2025-12-01,2025-12-01,6,3200,Standby pump startup test and seal inspection,WO-2025-0601,Completed
MNT016,EQ005,Preventive,Medium,EMP007,2025-07-10,2025-07-10,8,5800,Desalter electrode inspection and cleaning,WO-2025-0310,Completed
MNT017,EQ009,Turnaround,Critical,EMP006,2026-01-15,2026-02-15,744,2100000,VDU full turnaround with packing replacement,WO-2026-0022,Scheduled
MNT018,EQ020,Inspection,High,EMP007,2025-07-20,2025-07-22,32,21000,Reformer catalyst sampling and activity test,WO-2025-0325,Completed
MNT019,EQ032,Corrective,High,EMP021,2025-10-25,2025-10-27,28,45000,Singapore FCC reactor cyclone repair,WO-2025-0512,Completed
MNT020,EQ028,Preventive,Medium,EMP015,2025-11-15,2025-11-15,8,4800,Baytown CDU pump mechanical seal replacement,WO-2025-0568,Completed
