AlertId,TurbineId,AlertType,Severity,Timestamp,SensorId,Value,Threshold,Description,Status
ALT-001,WT-004,Pitch Fault,High,2024-11-01T08:30:00Z,SN-019,45.5,40.0,Pitch angle deviation exceeds threshold on blade 2,Resolved
ALT-002,WT-009,Vibration Alarm,Critical,2024-07-20T14:15:00Z,SN-010,12.5,8.0,Main bearing vibration critical - immediate shutdown,Active
ALT-003,WT-001,Temperature Warning,Medium,2024-11-10T22:00:00Z,SN-003,78.0,75.0,Generator temperature approaching limit,Resolved
ALT-004,WT-005,Wind Speed Alarm,Low,2024-11-12T03:45:00Z,SN-006,26.5,25.0,Wind speed exceeded cut-out threshold - auto shutdown,Resolved
ALT-005,WT-013,Yaw Misalignment,Medium,2024-11-08T16:20:00Z,SN-012,22.0,15.0,Yaw misalignment exceeds 15 degrees,Resolved
ALT-006,WT-003,Temperature Warning,Medium,2024-11-18T10:30:00Z,SN-018,80.2,85.0,Generator winding temperature elevated,Active
ALT-007,WT-015,Power Curtailment,Low,2024-11-15T14:00:00Z,SN-014,28.0,25.0,High wind curtailment activated,Resolved
ALT-008,WT-009,Blade Crack,Critical,2024-07-21T06:00:00Z,SN-010,15.0,8.0,Structural integrity alert - blade inspection required,Active
ALT-009,WT-014,Converter Fault,High,2024-10-28T09:15:00Z,,0,0,Power converter module fault detected,Resolved
ALT-010,WT-011,Communication,Low,2024-11-05T20:30:00Z,,0,0,SCADA communication timeout - 30 seconds,Resolved
