ProductId,ProductName,ProductCategory,APIGravity,SulfurLimitPPM,FlashPointF,SpecStandard,PricePerBarrelUSD,Description
PRD001,Regular Unleaded Gasoline,Gasoline,60.0,10,minus45,ASTM D4814,85.50,87 octane regular motor gasoline
PRD002,Premium Unleaded Gasoline,Gasoline,58.0,10,minus45,ASTM D4814,95.20,93 octane premium motor gasoline
PRD003,Ultra Low Sulfur Diesel,Diesel,35.0,15,125,ASTM D975,88.70,On-road ULSD fuel
PRD004,Jet Fuel A-1,JetFuel,42.0,3000,100,ASTM D1655,92.40,Aviation turbine fuel
PRD005,Kerosene,Kerosene,43.0,500,100,ASTM D3699,80.30,Heating and illuminating kerosene
PRD006,Liquefied Petroleum Gas,LPG,NA,NA,NA,GPA 2140,45.60,Propane and butane mix
PRD007,Fuel Oil No.6,ResidualFuel,12.0,5000,150,ASTM D396,52.10,Heavy residual fuel oil for marine/power
PRD008,Petroleum Coke,PetCoke,NA,NA,NA,ASTM D6970,35.80,Solid carbon byproduct from coking
PRD009,Naphtha,Naphtha,65.0,500,minus40,ASTM D5443,72.90,Light naphtha for petrochemical feedstock
PRD010,Asphalt,Asphalt,8.0,NA,500,ASTM D946,48.20,Paving grade asphalt
PRD011,Sulfur,Sulfur,NA,NA,NA,Industrial,120.00,Elemental sulfur recovered from hydroprocessing
PRD012,Lubricant Base Oil,LubeOil,28.0,10,400,API Group II,110.50,Base oil for lubricant blending
