AlertId,ServerId,AlertType,Severity,Timestamp,Value,Threshold,Description,Status
ALR-001,SRV-005,HighCPU,Critical,2024-01-15T10:00:00,98.5,90.0,DB server CPU sustained >90% for 15 minutes,Acknowledged
ALR-002,SRV-001,HighMemory,High,2024-01-22T14:30:00,92.0,85.0,Web server memory usage exceeding threshold,Acknowledged
ALR-003,SRV-007,GPUTemperature,Critical,2024-02-05T09:15:00,92.0,85.0,GPU 3 temperature above safe operating range,Acknowledged
ALR-004,SRV-003,HighLatency,Medium,2024-03-01T11:00:00,450.0,200.0,API response latency >200ms avg,Acknowledged
ALR-005,SRV-006,DiskSpace,High,2024-03-15T08:00:00,92.0,85.0,AnalyticsDB disk usage at 92%,Acknowledged
ALR-006,SRV-014,DiskSpace,Critical,2024-05-10T06:30:00,98.0,85.0,Monitoring server disk critical,Acknowledged
ALR-007,SRV-005,ReplicationLag,Critical,2024-04-20T16:00:00,1800.0,300.0,DB replication lag >30 minutes,Acknowledged
ALR-008,SRV-009,HighCPU,Medium,2024-06-15T22:00:00,88.0,80.0,EU web server CPU spike during failover,Active
ALR-009,SRV-013,BackupFailure,High,2024-04-01T03:00:00,1.0,0.0,Backup job failed for CustomerDB,Acknowledged
ALR-010,SRV-001,SSLExpiry,Medium,2024-06-01T00:00:00,7.0,30.0,SSL certificate expiring in 7 days,Acknowledged
