Title,Body,Labels,Milestone,Priority,EstimateDays,OwnerRole,Status
"S0-01 Finalize entity contract","Lock Turbine, Component, TurbineTelemetry, WeatherSample fields and nullability. Confirm business keys and status enum values.","rayfin,planning,data-contract","M1","P0",1,"Data Engineer","Todo"
"S0-02 Define scene mapping schema","Create mapping between turbineId/componentId and sceneObjectId/mesh node names. Add validation rules.","rayfin,threejs,planning","M1","P0",1,"Front-end Engineer","Todo"
"S0-03 Create local runbook","Document local start, auth flow, seed data load, telemetry generation, and smoke checks.","rayfin,docs,devex","M1","P0",1,"Platform Engineer","Todo"
"S1-01 Scaffold Rayfin app","Create Fabric App scaffold with React and Vite. Confirm local login and project structure.","rayfin,frontend,setup","M1","P0",1,"Front-end Engineer","Todo"
"S1-02 Add entities","Implement Turbine, Component, TurbineTelemetry entities in TypeScript decorators and migration/provision flow.","rayfin,data-model","M1","P0",2,"Data Engineer","Todo"
"S1-03 Seed base turbine data","Seed 8-12 turbines with location metadata and component structure.","rayfin,data,seed","M1","P0",1,"Data Engineer","Todo"
"S1-04 Build telemetry generator","Create deterministic telemetry simulator with healthy/warning/alarm states.","rayfin,telemetry,backend","M1","P0",1,"Data Engineer","Todo"
"S1-05 Build Three.js scene","Render ground plane, camera controls, turbine placement, and selection interactions.","threejs,frontend,rayfin","M1","P0",2,"Front-end Engineer","Todo"
"S1-06 Bind status to visuals","Map telemetry status to turbine visual state and update loop.","threejs,telemetry,frontend","M1","P0",1,"Front-end Engineer","Todo"
"S1-07 Build details panel","Display selected turbine live metrics and freshness timestamps.","frontend,ux,telemetry","M1","P1",1,"Front-end Engineer","Todo"
"S1-08 Deploy to Fabric","Run deployment and validate SSO, data access, and scene behavior in Fabric-hosted environment.","fabric,deploy,rayfin","M1","P0",1,"Platform Engineer","Todo"
"S2-01 Add filtering","Add status and turbine-group filtering controls in scene UI.","frontend,ux","M2","P1",1,"Front-end Engineer","Todo"
"S2-02 Add stale-data states","Implement stale telemetry states and warning messaging in UI.","frontend,reliability","M2","P1",1,"Front-end Engineer","Todo"
"S2-03 Capture blog assets","Create architecture diagram, screenshots, and reproducible command snippets.","docs,blog,assets","M2","P0",1,"Technical Writer","Todo"
"S2-04 Publish Part 1","Finalize and publish Part 1 article with tested steps and known issues.","docs,blog,publish","M2","P0",1,"Technical Writer","Todo"
"S3-01 Blender turbine import","Integrate realistic turbine mesh from Blender exports.","threejs,assets,blender","M3","P0",2,"Front-end Engineer","Todo"
"S3-02 Terrain pipeline","Process scan/vector source data into terrain mesh and textures.","terrain,pipeline,data","M3","P0",3,"Data Engineer","Todo"
"S3-03 Asset optimization","Implement LOD, draw-call reduction, and texture budget controls.","performance,threejs","M3","P0",2,"Front-end Engineer","Todo"
"S3-04 Regression validation","Verify existing IDs, selection logic, and telemetry bindings still pass.","qa,regression","M3","P0",1,"Platform Engineer","Todo"
"S4-01 Foundry agent integration","Connect app to Foundry agent grounded by Fabric KQL context.","foundry,ai,backend","M4","P0",3,"AI Engineer","Todo"
"S4-02 Text copilot UI","Add text interaction UI with selected turbine and farm context grounding.","ai,frontend,ux","M4","P0",2,"Front-end Engineer","Todo"
"S4-03 Voice path","Add real-time voice input/output path with text fallback.","ai,voice,frontend","M4","P1",3,"AI Engineer","Todo"
"S4-04 Guardrails and tracing","Implement response guardrails, traces, and error analytics.","ai,safety,observability","M4","P0",2,"AI Engineer","Todo"
"S5-01 Performance test pass","Run frame-time and update-latency tests in target demo environment.","qa,performance","M5","P0",2,"Platform Engineer","Todo"
"S5-02 Security and auth checks","Validate auth boundaries, token handling, and data access controls.","security,auth,qa","M5","P0",1,"Platform Engineer","Todo"
"S5-03 Demo runbook","Prepare final demo script, fallback flows, and troubleshooting guide.","docs,ops,demo","M5","P0",1,"Technical Writer","Todo"
